Genes	KOG
Glyma.09G044400	O
Glyma.03G196900	U
Glyma.09G079000	T
Glyma.17G040500	T
Glyma.15G188500	T
Glyma.15G101000	T
Glyma.18G278800	T
Glyma.13G211700	T
Glyma.01G071300	T
Glyma.07G254000	T
Glyma.08G255800	T
Glyma.17G020300	T
Glyma.17G070500	T
Glyma.02G128000	T
Glyma.10G218100	T
Glyma.18G159000	K
Glyma.08G347600	K
Glyma.08G241000	E
Glyma.14G102700	E
Glyma.19G027100	E
Glyma.17G222700	E
Glyma.13G059400	E
Glyma.01G054500	E
Glyma.06G061700	E
Glyma.02G113000	E
Glyma.04G061100	E
Glyma.02G113100	E
Glyma.18G243900	A
Glyma.09G224100	A
Glyma.12G012900	A
Glyma.09G248800	A
Glyma.10G188100	Z
Glyma.20G202700	Z
Glyma.04G128400	D
Glyma.06G310400	D
Glyma.17G115100	G
Glyma.13G167500	G
Glyma.12G107700	G
Glyma.13G065900	G
Glyma.13G276600	G
Glyma.18G254900	G
Glyma.03G083000	G
Glyma.04G148100	G
Glyma.19G117600	G
Glyma.07G165800	G
Glyma.06G240700	G
Glyma.12G224700	G
Glyma.20G125800	G
Glyma.10G127100	G
Glyma.06G297300	G
Glyma.07G020500	G
Glyma.09G119700	G
Glyma.09G241300	G
Glyma.12G155800	G
Glyma.16G035500	G
Glyma.12G189800	G
Glyma.18G149600	G
Glyma.06G222700	G
Glyma.10G264600	G
Glyma.06G316600	O
Glyma.01G228500	O
Glyma.04G130500	O
Glyma.02G232900	O
Glyma.13G158700	R
Glyma.06G055100	E
Glyma.12G185700	E
Glyma.13G315800	E
Glyma.08G074700	E
Glyma.10G292900	E
Glyma.20G239100	U
Glyma.19G214000	U
Glyma.03G217400	U
Glyma.10G149000	U
Glyma.13G245800	U
Glyma.02G195400	U
Glyma.03G202800	U
Glyma.16G154200	U
Glyma.02G195300	U
Glyma.10G082400	U
Glyma.12G194800	U
Glyma.02G069700	U
Glyma.11G070000	U
Glyma.01G173100	U
Glyma.16G151200	U
Glyma.15G068000	U
Glyma.19G200500	U
Glyma.08G058300	U
Glyma.13G307600	U
Glyma.10G082500	U
Glyma.16G045900	U
Glyma.09G206800	U
Glyma.01G015600	U
Glyma.16G075400	U
Glyma.16G091900	U
Glyma.02G255700	U
Glyma.04G072800	U
Glyma.04G072700	U
Glyma.06G074000	U
Glyma.U031123	U
Glyma.06G073900	U
Glyma.20G118000	R
Glyma.06G140800	R
Glyma.13G345400	R
Glyma.14G187700	R
Glyma.12G050800	R
Glyma.15G028900	R
Glyma.11G126200	R
Glyma.04G224100	R
Glyma.13G261400	R
Glyma.14G061100	J
Glyma.18G029200	J
Glyma.02G255500	J
Glyma.11G228200	J
Glyma.15G048200	A
Glyma.08G184300	A
Glyma.04G233600	I
Glyma.06G131200	I
Glyma.04G140900	U
Glyma.07G175400	U
Glyma.08G056500	U
Glyma.U031126	U
Glyma.13G200000	U
Glyma.15G238400	U
Glyma.09G171600	U
Glyma.08G136200	U
Glyma.05G178700	U
Glyma.15G238500	U
Glyma.13G088700	U
Glyma.07G106600	U
Glyma.13G191200	U
Glyma.13G200100	U
Glyma.11G153800	U
Glyma.20G011800	U
Glyma.09G029600	U
Glyma.15G237800	U
Glyma.13G199500	U
Glyma.15G135400	U
Glyma.13G199800	U
Glyma.11G073200	A
Glyma.06G315500	A
Glyma.09G264100	A
Glyma.01G170100	A
Glyma.06G316500	A
Glyma.18G227900	A
Glyma.03G145700	O
Glyma.12G203900	O
Glyma.07G196000	O
Glyma.13G297700	O
Glyma.01G178600	O
Glyma.13G239500	O
Glyma.06G034500	O
Glyma.12G151200	O
Glyma.11G063500	O
Glyma.06G293400	O
Glyma.12G112000	O
Glyma.13G179900	O
Glyma.19G148900	O
Glyma.15G073700	O
Glyma.03G250100	O
Glyma.19G247700	O
Glyma.16G032000	O
Glyma.13G217100	J
Glyma.02G284900	J
Glyma.14G029901	J
Glyma.15G095400	J
Glyma.18G110000	J
Glyma.16G012200	J
Glyma.15G267100	J
Glyma.07G043800	J
Glyma.08G159800	J
Glyma.09G195400	I
Glyma.16G115700	I
Glyma.01G156000	I
Glyma.16G115800	I
Glyma.11G088800	I
Glyma.07G129300	F
Glyma.05G222300	F
Glyma.08G029000	F
Glyma.07G223700	D
Glyma.20G023800	D
Glyma.08G168800	D
Glyma.10G249800	D
Glyma.11G004500	D
Glyma.15G258300	D
Glyma.20G023500	D
Glyma.20G143800	D
Glyma.10G158100	R
Glyma.20G230500	R
Glyma.03G235500	Z
Glyma.19G233300	Z
Glyma.08G241400	A
Glyma.08G033500	A
Glyma.17G020700	A
Glyma.02G011800	O
Glyma.20G133300	O
Glyma.17G147700	O
Glyma.10G012300	O
Glyma.05G053600	O
Glyma.02G091200	O
Glyma.09G213800	O
Glyma.12G026400	O
Glyma.01G149700	O
Glyma.18G291900	O
Glyma.19G233600	O
Glyma.17G136100	O
Glyma.10G257800	O
Glyma.12G044500	O
Glyma.11G100300	O
Glyma.05G065900	O
Glyma.07G226000	O
Glyma.02G208700	O
Glyma.12G229200	O
Glyma.06G094400	O
Glyma.13G270600	O
Glyma.08G363800	O
Glyma.01G058000	O
Glyma.05G158100	O
Glyma.18G298300	O
Glyma.12G210400	O
Glyma.20G025900	O
Glyma.14G176900	O
Glyma.06G101500	O
Glyma.13G290900	O
Glyma.08G115800	O
Glyma.04G099900	O
Glyma.04G092600	O
Glyma.02G115900	O
Glyma.06G303700	K
Glyma.12G235000	U
Glyma.12G235000	Y
Glyma.13G264100	U
Glyma.13G264100	Y
Glyma.08G162600	J
Glyma.20G116100	J
Glyma.15G264500	J
Glyma.05G020600	L
Glyma.05G083400	L
Glyma.10G078400	O
Glyma.02G198400	O
Glyma.19G198200	O
Glyma.03G200600	O
Glyma.06G323700	M
Glyma.09G073600	M
Glyma.13G269200	M
Glyma.04G110200	M
Glyma.06G029300	M
Glyma.13G114000	M
Glyma.17G109700	M
Glyma.15G182600	M
Glyma.03G216300	M
Glyma.14G029100	M
Glyma.11G212700	M
Glyma.17G045800	M
Glyma.13G161600	M
Glyma.09G167000	M
Glyma.02G240400	M
Glyma.14G209900	M
Glyma.07G034500	M
Glyma.18G108100	M
Glyma.17G253700	M
Glyma.13G360500	M
Glyma.08G308600	M
Glyma.15G013400	M
Glyma.08G207600	M
Glyma.19G212800	M
Glyma.15G151000	M
Glyma.16G217200	M
Glyma.12G230400	M
Glyma.08G088000	O
Glyma.17G046500	O
Glyma.13G113200	O
Glyma.13G253800	O
Glyma.15G100700	O
Glyma.13G212000	O
Glyma.08G236000	O
Glyma.15G061100	O
Glyma.06G140900	J
Glyma.14G187800	J
Glyma.03G106300	J
Glyma.18G050600	J
Glyma.02G220000	J
Glyma.04G224000	J
Glyma.04G121000	S
Glyma.08G032300	S
Glyma.15G106600	S
Glyma.13G205900	S
Glyma.06G317800	S
Glyma.05G225500	S
Glyma.17G025800	U
Glyma.15G126200	U
Glyma.07G223000	U
Glyma.15G147200	U
Glyma.09G045400	U
Glyma.20G022200	U
Glyma.13G160500	U
Glyma.09G019800	U
Glyma.14G035500	U
Glyma.18G172300	U
Glyma.10G278100	U
Glyma.12G091300	U
Glyma.20G076200	U
Glyma.20G111100	U
Glyma.04G111600	U
Glyma.11G181900	U
Glyma.08G355600	U
Glyma.07G248300	U
Glyma.02G279100	U
Glyma.06G322700	U
Glyma.18G172100	U
Glyma.17G111000	U
Glyma.10G123500	U
Glyma.13G345900	U
Glyma.13G136600	U
Glyma.09G097700	U
Glyma.07G042400	U
Glyma.16G010800	U
Glyma.10G236500	U
Glyma.20G158000	U
Glyma.14G073000	O
Glyma.17G252100	O
Glyma.09G161300	O
Glyma.10G220800	U
Glyma.20G170700	U
Glyma.01G119300	U
Glyma.19G249000	O
Glyma.04G068700	O
Glyma.19G160200	O
Glyma.06G005100	O
Glyma.03G251600	O
Glyma.12G024700	O
Glyma.11G098700	O
Glyma.06G070300	O
Glyma.09G095400	O
Glyma.04G005300	O
Glyma.14G125200	O
Glyma.11G106400	O
Glyma.03G157900	O
Glyma.18G111200	O
Glyma.11G212900	O
Glyma.02G283900	O
Glyma.02G154300	O
Glyma.10G019900	O
Glyma.05G206900	O
Glyma.08G306900	O
Glyma.08G306800	O
Glyma.14G031000	O
Glyma.02G154400	O
Glyma.18G043700	O
Glyma.05G207000	O
Glyma.08G013700	O
Glyma.01G142800	O
Glyma.17G003200	O
Glyma.17G003300	O
Glyma.20G198500	K
Glyma.03G177700	K
Glyma.02G087200	K
Glyma.10G192000	K
Glyma.09G046200	K
Glyma.15G118800	K
Glyma.08G329300	K
Glyma.09G014100	K
Glyma.08G141000	K
Glyma.02G300200	K
Glyma.18G077500	K
Glyma.10G048900	K
Glyma.05G193300	K
Glyma.17G005600	K
Glyma.20G000600	K
Glyma.19G178500	K
Glyma.07G268100	K
Glyma.12G089400	K
Glyma.11G183100	K
Glyma.06G209000	K
Glyma.17G123600	K
Glyma.15G153900	K
Glyma.08G001300	K
Glyma.05G015100	K
Glyma.13G044800	I
Glyma.19G050500	I
Glyma.09G269200	I
Glyma.01G035100	I
Glyma.02G030900	I
Glyma.17G135800	I
Glyma.05G053300	I
Glyma.10G219700	I
Glyma.20G172000	I
Glyma.01G046500	I
Glyma.02G106700	I
Glyma.13G280300	J
Glyma.13G280200	J
Glyma.16G028800	J
Glyma.07G059900	J
Glyma.07G060000	J
Glyma.10G117100	P
Glyma.20G196900	P
Glyma.20G050800	P
Glyma.04G221300	P
Glyma.02G087700	P
Glyma.10G193500	P
Glyma.06G144500	P
Glyma.11G019500	J
Glyma.05G239000	J
Glyma.07G198500	J
Glyma.13G177900	J
Glyma.02G085300	J
Glyma.11G020100	J
Glyma.15G195500	J
Glyma.03G197500	J
Glyma.05G156100	J
Glyma.08G114100	J
Glyma.13G051200	J
Glyma.11G226800	J
Glyma.08G114000	J
Glyma.09G090900	O
Glyma.13G193500	O
Glyma.15G231800	O
Glyma.11G175200	O
Glyma.17G122500	O
Glyma.15G202300	O
Glyma.11G229800	O
Glyma.12G031500	O
Glyma.18G062900	O
Glyma.04G004300	O
Glyma.19G222600	O
Glyma.10G139500	O
Glyma.18G027400	O
Glyma.01G044900	O
Glyma.20G249300	O
Glyma.10G298200	O
Glyma.05G014300	O
Glyma.02G105500	O
Glyma.07G157800	O
Glyma.19G196100	O
Glyma.03G198200	O
Glyma.10G206100	O
Glyma.20G005600	O
Glyma.20G184400	O
Glyma.09G245200	O
Glyma.03G022052	O
Glyma.18G248100	O
Glyma.01G144800	O
Glyma.19G009700	O
Glyma.13G169500	O
Glyma.17G218800	O
Glyma.13G140100	J
Glyma.11G146300	J
Glyma.12G075500	J
Glyma.10G053100	J
Glyma.02G253500	J
Glyma.08G087000	J
Glyma.14G062900	J
Glyma.05G132500	J
Glyma.08G022500	F
Glyma.07G115900	F
Glyma.05G216700	F
Glyma.17G127400	F
Glyma.03G109500	F
Glyma.16G009300	F
Glyma.05G045200	F
Glyma.01G004300	J
Glyma.08G030900	J
Glyma.05G223800	J
Glyma.07G127500	J
Glyma.16G014400	O
Glyma.07G046200	O
Glyma.13G179600	O
Glyma.13G239100	O
Glyma.07G196500	O
Glyma.09G124800	O
Glyma.08G042500	O
Glyma.03G199900	O
Glyma.10G077600	O
Glyma.15G189500	O
Glyma.07G168100	O
Glyma.19G197500	O
Glyma.02G199700	O
Glyma.05G235000	O
Glyma.05G234800	J
Glyma.17G004300	J
Glyma.07G269600	J
Glyma.08G042300	J
Glyma.05G150000	J
Glyma.08G106800	J
Glyma.11G002400	J
Glyma.03G142300	J
Glyma.08G327500	J
Glyma.18G079900	J
Glyma.19G145100	J
Glyma.19G145000	J
Glyma.14G044100	J
Glyma.03G142200	J
Glyma.19G167800	J
Glyma.18G105500	J
Glyma.03G166700	J
Glyma.20G085400	J
Glyma.13G126400	J
Glyma.08G310400	J
Glyma.10G039900	J
Glyma.14G222500	O
Glyma.08G295600	O
Glyma.12G213100	O
Glyma.01G041100	O
Glyma.10G114400	O
Glyma.18G243200	O
Glyma.12G136400	O
Glyma.19G149200	O
Glyma.02G023000	O
Glyma.18G255400	O
Glyma.08G087100	O
Glyma.14G070500	O
Glyma.02G023400	O
Glyma.04G028500	O
Glyma.11G060800	O
Glyma.16G042700	O
Glyma.05G132600	O
Glyma.04G167500	O
Glyma.16G220500	O
Glyma.13G286600	O
Glyma.12G215000	O
Glyma.06G028600	O
Glyma.06G266700	O
Glyma.09G249200	O
Glyma.04G135300	O
Glyma.04G038900	O
Glyma.01G040700	O
Glyma.07G129600	O
Glyma.06G195100	O
Glyma.18G127400	O
Glyma.01G002700	O
Glyma.17G254200	O
Glyma.19G109400	O
Glyma.08G055600	O
Glyma.02G161200	O
Glyma.18G255200	O
Glyma.18G215900	O
Glyma.19G184600	O
Glyma.01G182500	O
Glyma.11G073000	O
Glyma.13G251200	O
Glyma.18G255300	O
Glyma.01G041200	O
Glyma.02G023100	O
Glyma.09G240800	O
Glyma.03G146000	O
Glyma.03G001800	O
Glyma.11G156500	O
Glyma.15G063100	O
Glyma.06G039900	O
Glyma.01G170300	O
Glyma.09G273200	O
Glyma.09G240900	O
Glyma.19G243900	O
Glyma.03G246500	O
Glyma.20G135000	O
Glyma.10G224100	O
Glyma.12G223400	O
Glyma.13G328300	O
Glyma.02G102400	O
Glyma.15G045500	O
Glyma.20G104000	O
Glyma.07G213700	O
Glyma.20G167700	O
Glyma.06G245200	O
Glyma.12G151400	O
Glyma.06G121400	O
Glyma.13G277900	O
Glyma.10G285000	O
Glyma.04G242000	O
Glyma.01G119900	O
Glyma.13G180400	O
Glyma.03G056300	O
Glyma.17G192700	O
Glyma.02G295200	S
Glyma.14G018200	S
Glyma.15G054900	K
Glyma.02G282700	A
Glyma.12G022500	B
Glyma.11G096400	D
Glyma.11G096400	B
Glyma.02G274700	U
Glyma.07G126300	U
Glyma.20G063200	U
Glyma.01G005300	U
Glyma.08G031600	U
Glyma.13G004600	U
Glyma.14G218900	U
Glyma.17G257900	U
Glyma.02G056900	U
Glyma.16G139700	U
Glyma.06G029800	U
Glyma.01G027300	U
Glyma.14G181300	U
Glyma.04G029800	U
Glyma.17G019900	U
Glyma.06G098700	K
Glyma.06G098700	O
Glyma.04G096900	K
Glyma.04G096900	O
Glyma.14G183000	O
Glyma.02G164100	E
Glyma.02G164100	H
Glyma.13G154600	E
Glyma.13G154600	H
Glyma.15G117500	E
Glyma.15G117500	H
Glyma.19G056700	U
Glyma.19G003200	U
Glyma.04G253800	R
Glyma.06G108500	R
Glyma.11G009500	O
Glyma.01G233300	O
Glyma.08G030800	O
Glyma.05G223700	O
Glyma.05G215100	L
Glyma.19G158900	L
Glyma.08G021400	L
Glyma.06G039600	K
Glyma.04G038600	K
Glyma.02G145200	K
Glyma.12G087100	K
Glyma.05G206100	K
Glyma.14G135900	D
Glyma.13G317500	K
Glyma.13G317500	D
Glyma.19G220100	R
Glyma.04G049200	E
Glyma.06G082700	E
Glyma.07G186000	E
Glyma.06G050100	E
Glyma.03G240100	E
Glyma.07G186100	E
Glyma.08G063300	E
Glyma.08G063000	E
Glyma.17G190800	E
Glyma.12G226400	E
Glyma.13G089100	O
Glyma.03G156600	O
Glyma.09G139300	O
Glyma.20G158400	O
Glyma.02G145200	O
Glyma.18G280500	O
Glyma.01G074000	O
Glyma.06G039600	O
Glyma.13G078500	O
Glyma.12G015800	O
Glyma.17G211900	O
Glyma.11G084200	O
Glyma.17G197200	O
Glyma.08G256300	O
Glyma.11G025100	O
Glyma.17G157900	O
Glyma.08G021400	O
Glyma.10G236100	O
Glyma.04G038600	O
Glyma.04G107100	O
Glyma.10G245400	O
Glyma.14G050200	O
Glyma.02G267300	O
Glyma.15G265300	O
Glyma.02G101800	O
Glyma.13G147300	O
Glyma.01G159900	O
Glyma.01G218100	O
Glyma.08G013000	O
Glyma.14G135900	O
Glyma.14G150900	O
Glyma.05G109300	O
Glyma.03G178100	O
Glyma.11G175700	O
Glyma.13G078500	D
Glyma.13G078500	Z
Glyma.12G142100	T
Glyma.16G201900	T
Glyma.08G264900	T
Glyma.02G311200	T
Glyma.13G266300	T
Glyma.13G266100	T
Glyma.19G005700	T
Glyma.08G310900	D
Glyma.12G111300	D
Glyma.09G061100	D
Glyma.15G193800	D
Glyma.10G096000	D
Glyma.07G160600	D
Glyma.01G135100	D
Glyma.09G080200	D
Glyma.07G171700	D
Glyma.18G152100	D
Glyma.19G051300	D
Glyma.01G008700	A
Glyma.07G271700	L
Glyma.13G226500	L
Glyma.04G191200	L
Glyma.05G044100	L
Glyma.06G174600	L
Glyma.15G085900	L
Glyma.04G246800	L
Glyma.17G002500	L
Glyma.06G116000	L
Glyma.17G126600	L
Glyma.04G248900	L
Glyma.06G114100	L
Glyma.12G015800	S
Glyma.11G084200	S
Glyma.03G156600	S
Glyma.11G025100	U
Glyma.09G024600	U
Glyma.08G082600	U
Glyma.05G206100	U
Glyma.15G130600	U
Glyma.01G159900	U
Glyma.11G084200	U
Glyma.06G106900	U
Glyma.10G062800	U
Glyma.15G048000	D
Glyma.13G325700	S
Glyma.12G172200	S
Glyma.06G016700	U
Glyma.06G016700	T
Glyma.02G311333	U
Glyma.02G311333	T
Glyma.14G001200	U
Glyma.14G001200	T
Glyma.04G016600	U
Glyma.04G016600	T
Glyma.17G041700	B
Glyma.13G118200	B
Glyma.03G124900	K
Glyma.03G124900	L
Glyma.04G138300	K
Glyma.04G138300	L
Glyma.11G154800	K
Glyma.11G154800	L
Glyma.07G192500	K
Glyma.07G192500	L
Glyma.13G243600	K
Glyma.13G243600	L
Glyma.12G115800	K
Glyma.12G115800	L
Glyma.13G183900	K
Glyma.13G183900	L
Glyma.15G070100	K
Glyma.15G070100	L
Glyma.17G076400	Z
Glyma.13G050900	Z
Glyma.06G080100	Z
Glyma.05G127800	Z
Glyma.14G024000	Z
Glyma.19G037700	Z
Glyma.02G248400	Z
Glyma.12G015800	Z
Glyma.05G023300	Z
Glyma.18G276900	Z
Glyma.13G212200	Z
Glyma.15G219400	Z
Glyma.02G125400	Z
Glyma.11G246000	Z
Glyma.08G082600	Z
Glyma.14G068100	Z
Glyma.10G292800	Z
Glyma.15G100500	Z
Glyma.07G253800	Z
Glyma.01G068800	Z
Glyma.06G067100	Z
Glyma.02G311333	Z
Glyma.11G109500	Z
Glyma.02G290700	Z
Glyma.03G156600	Z
Glyma.01G053700	J
Glyma.02G112000	J
Glyma.15G274000	L
Glyma.15G274000	B
Glyma.08G155900	L
Glyma.08G155900	B
Glyma.06G018800	S
Glyma.04G018500	S
Glyma.05G190800	L
Glyma.05G190800	B
Glyma.08G156200	L
Glyma.08G156200	B
Glyma.17G259000	R
Glyma.06G003700	R
Glyma.17G109500	R
Glyma.14G220000	R
Glyma.17G176200	I
Glyma.11G245600	I
Glyma.18G011500	I
Glyma.18G011600	I
Glyma.05G090600	I
Glyma.11G057800	I
Glyma.01G099700	R
Glyma.03G069600	R
Glyma.17G042400	F
Glyma.20G228200	F
Glyma.13G100600	F
Glyma.07G071800	F
Glyma.09G249800	F
Glyma.15G186100	F
Glyma.03G010700	F
Glyma.02G129800	F
Glyma.17G059300	F
Glyma.01G092400	F
Glyma.09G080100	F
Glyma.18G242600	F
Glyma.13G117500	F
Glyma.10G160200	F
Glyma.20G234500	D
Glyma.20G234500	B
Glyma.20G234500	T
Glyma.17G024600	D
Glyma.17G024600	B
Glyma.17G024600	T
Glyma.07G249800	D
Glyma.07G249800	B
Glyma.07G249800	T
Glyma.10G153800	D
Glyma.10G153800	B
Glyma.10G153800	T
Glyma.03G237000	D
Glyma.03G237000	B
Glyma.03G237000	T
Glyma.02G181500	W
Glyma.02G181500	M
Glyma.02G181500	G
Glyma.20G152000	W
Glyma.20G152000	M
Glyma.20G152000	G
Glyma.01G147500	W
Glyma.01G147500	M
Glyma.01G147500	G
Glyma.17G025900	W
Glyma.17G025900	M
Glyma.17G025900	G
Glyma.03G006800	W
Glyma.03G006800	M
Glyma.03G006800	G
Glyma.19G189300	W
Glyma.19G189300	M
Glyma.19G189300	G
Glyma.13G322400	W
Glyma.13G322400	M
Glyma.13G322400	G
Glyma.20G173400	W
Glyma.20G173400	M
Glyma.20G173400	G
Glyma.06G160000	W
Glyma.06G160000	M
Glyma.06G160000	G
Glyma.04G202200	W
Glyma.04G202200	M
Glyma.04G202200	G
Glyma.01G057900	W
Glyma.01G057900	M
Glyma.01G057900	G
Glyma.17G100100	W
Glyma.17G100100	M
Glyma.17G100100	G
Glyma.01G219300	W
Glyma.01G219300	M
Glyma.01G219300	G
Glyma.13G127300	W
Glyma.13G127300	M
Glyma.13G127300	G
Glyma.03G189100	W
Glyma.03G189100	M
Glyma.03G189100	G
Glyma.12G017500	W
Glyma.12G017500	M
Glyma.12G017500	G
Glyma.17G110100	W
Glyma.17G110100	M
Glyma.17G110100	G
Glyma.17G143500	W
Glyma.17G143500	M
Glyma.17G143500	G
Glyma.14G114100	W
Glyma.14G114100	M
Glyma.14G114100	G
Glyma.03G167650	W
Glyma.03G167650	M
Glyma.03G167650	G
Glyma.13G148700	W
Glyma.13G148700	M
Glyma.13G148700	G
Glyma.17G110000	W
Glyma.17G110000	M
Glyma.17G110000	G
Glyma.11G193500	W
Glyma.11G193500	M
Glyma.11G193500	G
Glyma.12G178100	W
Glyma.12G178100	M
Glyma.12G178100	G
Glyma.11G024200	W
Glyma.11G024200	M
Glyma.11G024200	G
Glyma.11G107900	W
Glyma.11G107900	M
Glyma.11G107900	G
Glyma.06G163300	W
Glyma.06G163300	M
Glyma.06G163300	G
Glyma.08G259400	W
Glyma.08G259400	M
Glyma.08G259400	G
Glyma.06G193900	W
Glyma.06G193900	M
Glyma.06G193900	G
Glyma.04G169500	W
Glyma.04G169500	M
Glyma.04G169500	G
Glyma.17G194300	W
Glyma.17G194300	M
Glyma.17G194300	G
Glyma.08G103800	W
Glyma.08G103800	M
Glyma.08G103800	G
Glyma.04G083800	W
Glyma.04G083800	M
Glyma.04G083800	G
Glyma.13G161100	W
Glyma.13G161100	M
Glyma.13G161100	G
Glyma.05G228200	W
Glyma.05G228200	M
Glyma.05G228200	G
Glyma.19G113300	W
Glyma.19G113300	M
Glyma.19G113300	G
Glyma.06G085300	W
Glyma.06G085300	M
Glyma.06G085300	G
Glyma.17G110200	W
Glyma.17G110200	M
Glyma.17G110200	G
Glyma.19G119100	W
Glyma.19G119100	M
Glyma.19G119100	G
Glyma.18G283600	W
Glyma.18G283600	M
Glyma.18G283600	G
Glyma.17G110300	W
Glyma.17G110300	M
Glyma.17G110300	G
Glyma.13G148900	W
Glyma.13G148900	M
Glyma.13G148900	G
Glyma.07G220600	W
Glyma.07G220600	M
Glyma.07G220600	G
Glyma.13G161400	W
Glyma.13G161400	M
Glyma.13G161400	G
Glyma.13G161200	W
Glyma.13G161200	M
Glyma.13G161200	G
Glyma.20G004900	W
Glyma.20G004900	M
Glyma.20G004900	G
Glyma.12G080300	W
Glyma.12G080300	M
Glyma.12G080300	G
Glyma.18G283700	W
Glyma.18G283700	M
Glyma.18G283700	G
Glyma.05G199900	W
Glyma.05G199900	M
Glyma.05G199900	G
Glyma.20G019000	W
Glyma.20G019000	M
Glyma.20G019000	G
Glyma.06G066700	W
Glyma.06G066700	M
Glyma.06G066700	G
Glyma.10G064200	W
Glyma.10G064200	M
Glyma.10G064200	G
Glyma.13G256200	W
Glyma.13G256200	M
Glyma.13G256200	G
Glyma.05G146900	W
Glyma.05G146900	M
Glyma.05G146900	G
Glyma.10G099700	W
Glyma.10G099700	M
Glyma.10G099700	G
Glyma.18G002600	W
Glyma.18G002600	M
Glyma.18G002600	G
Glyma.06G085200	W
Glyma.06G085200	M
Glyma.06G085200	G
Glyma.17G212300	W
Glyma.17G212300	M
Glyma.17G212300	G
Glyma.09G200700	W
Glyma.09G200700	M
Glyma.09G200700	G
Glyma.11G254500	W
Glyma.11G254500	M
Glyma.11G254500	G
Glyma.19G168800	W
Glyma.19G168800	M
Glyma.19G168800	G
Glyma.10G040700	W
Glyma.10G040700	M
Glyma.10G040700	G
Glyma.20G065300	W
Glyma.20G065300	M
Glyma.20G065300	G
Glyma.03G139300	W
Glyma.03G139300	M
Glyma.03G139300	G
Glyma.17G110500	W
Glyma.17G110500	M
Glyma.17G110500	G
Glyma.10G064300	W
Glyma.10G064300	M
Glyma.10G064300	G
Glyma.09G261200	U
Glyma.09G261200	T
Glyma.08G239300	U
Glyma.08G239300	T
Glyma.12G239600	U
Glyma.12G239600	T
Glyma.09G003400	U
Glyma.09G003400	T
Glyma.03G012600	U
Glyma.03G012600	T
Glyma.07G072500	U
Glyma.07G072500	T
Glyma.04G141600	R
Glyma.09G024400	R
Glyma.18G039700	R
Glyma.02G248100	R
Glyma.19G145400	R
Glyma.09G183800	R
Glyma.07G075300	R
Glyma.08G124000	R
Glyma.13G198600	R
Glyma.19G070800	R
Glyma.02G247900	R
Glyma.11G219000	R
Glyma.13G261200	R
Glyma.08G041800	R
Glyma.02G248000	R
Glyma.14G152500	R
Glyma.19G070700	R
Glyma.15G236900	R
Glyma.08G011900	R
Glyma.12G119100	R
Glyma.09G014700	R
Glyma.11G154100	R
Glyma.07G102400	R
Glyma.05G165900	R
Glyma.03G142500	R
Glyma.03G016000	R
Glyma.14G068400	R
Glyma.03G009400	R
Glyma.15G130300	R
Glyma.06G066600	R
Glyma.03G015400	R
Glyma.05G204900	R
Glyma.08G054500	R
Glyma.03G016300	R
Glyma.09G176900	R
Glyma.11G216900	R
Glyma.09G117100	R
Glyma.07G268400	R
Glyma.15G120400	R
Glyma.18G224800	R
Glyma.13G030700	R
Glyma.07G219900	R
Glyma.05G246400	R
Glyma.18G038400	R
Glyma.07G092400	R
Glyma.20G070800	S
Glyma.04G187900	S
Glyma.06G177800	S
Glyma.10G120400	S
Glyma.09G015700	S
Glyma.07G269000	S
Glyma.07G207700	S
Glyma.17G004700	S
Glyma.02G137700	S
Glyma.15G121500	S
Glyma.08G021200	J
Glyma.12G224600	J
Glyma.02G152200	K
Glyma.10G022000	K
Glyma.13G287200	K
Glyma.11G159230	D
Glyma.01G054100	D
Glyma.10G258300	D
Glyma.02G112500	D
Glyma.20G133400	D
Glyma.20G132800	D
Glyma.11G184100	L
Glyma.11G184100	K
Glyma.11G184100	O
Glyma.19G162800	L
Glyma.19G162800	K
Glyma.19G162800	O
Glyma.02G017200	L
Glyma.02G017200	K
Glyma.02G017200	O
Glyma.10G017700	L
Glyma.10G017700	K
Glyma.10G017700	O
Glyma.12G088300	L
Glyma.12G088300	K
Glyma.12G088300	O
Glyma.03G161300	L
Glyma.03G161300	K
Glyma.03G161300	O
Glyma.18G200100	O
Glyma.11G246100	O
Glyma.08G153800	O
Glyma.08G154100	O
Glyma.18G063500	O
Glyma.15G072700	O
Glyma.03G060000	O
Glyma.18G010900	O
Glyma.07G195400	O
Glyma.15G272400	O
Glyma.13G180900	O
Glyma.18G011100	O
Glyma.15G273000	O
Glyma.13G240800	O
Glyma.07G148900	O
Glyma.20G022900	J
Glyma.18G245200	S
Glyma.08G125700	S
Glyma.09G247500	S
Glyma.02G200700	S
Glyma.05G167300	S
Glyma.10G075900	S
Glyma.05G126600	S
Glyma.08G081600	S
Glyma.08G015900	E
Glyma.08G015900	O
Glyma.05G209200	E
Glyma.05G209200	O
Glyma.18G253400	T
Glyma.18G253400	W
Glyma.11G174500	O
Glyma.09G060500	O
Glyma.02G226900	O
Glyma.20G193900	O
Glyma.10G196300	O
Glyma.14G193900	O
Glyma.20G073000	O
Glyma.18G062300	O
Glyma.10G079000	O
Glyma.18G026600	O
Glyma.17G058400	O
Glyma.10G121542	O
Glyma.11G230700	O
Glyma.02G198000	O
Glyma.13G101300	O
Glyma.15G167000	O
Glyma.12G194200	E
Glyma.12G194200	T
