ko	Genes
K13899	Glyma.04G096400
K14765	Glyma.04G096700
K10592	Glyma.04G096900
K03327	Glyma.04G097700
K03327	Glyma.04G097900
K10664	Glyma.04G098100
K01214	Glyma.04G098900
K00773	Glyma.04G099000
K17422	Glyma.04G099100
K01875	Glyma.04G099400
K06630	Glyma.04G099900
K17506	Glyma.04G101400
K12118	Glyma.04G101500
K09422	Glyma.04G101900
K03327	Glyma.04G102100
K14684	Glyma.04G102300
K09527	Glyma.04G103400
K01087	Glyma.04G103600
K09286	Glyma.04G103900
K01834	Glyma.04G104500
K11262	Glyma.04G104900
K03650	Glyma.04G105000
K13111	Glyma.04G106300
K10770	Glyma.04G107300
K17804	Glyma.04G107400
K02868	Glyma.04G111500
K14945	Glyma.04G111900
K16616	Glyma.04G112600
K08905	Glyma.04G112800
K18835	Glyma.04G115500
K02911	Glyma.04G115800
K12179	Glyma.04G115900
K13342	Glyma.04G116700
K01410	Glyma.04G117400
K01051	Glyma.04G119100
K01087	Glyma.04G119700
K10268	Glyma.04G120000
K13989	Glyma.04G121000
K04715	Glyma.04G121300
K00422	Glyma.04G121700
K02873	Glyma.04G122700
K08762	Glyma.04G122900
K03125	Glyma.04G123500
K17893	Glyma.04G123800
K01187	Glyma.04G123900
K14432	Glyma.04G124200
K11420	Glyma.04G125500
K09422	Glyma.04G125700
K18466	Glyma.04G125800
K14379	Glyma.04G128300
K11271	Glyma.04G128400
K17616	Glyma.04G128700
K14802	Glyma.04G129200
K14961	Glyma.04G129500
K11308	Glyma.04G130300
K10636	Glyma.04G130500
K00652	Glyma.04G130900
K17065	Glyma.04G131700
K17080	Glyma.04G131800
K14156	Glyma.04G132000
K02966	Glyma.04G132900
K00602	Glyma.04G133100
K16904	Glyma.04G133300
K10732	Glyma.04G133700
K12878	Glyma.04G133800
K11436	Glyma.04G133900
K02899	Glyma.04G134300
K18749	Glyma.04G134900
K07766	Glyma.04G135000
K13448	Glyma.04G136600
K14492	Glyma.04G137600
K02899	Glyma.04G139200
K14561	Glyma.04G139900
K10365	Glyma.04G140500
K17095	Glyma.04G140900
K08334	Glyma.04G141000
K12486	Glyma.04G141600
K17479	Glyma.04G141800
K00670	Glyma.04G142300
K10999	Glyma.04G142700
K00901	Glyma.04G143000
K01213	Glyma.04G143200
K01689	Glyma.04G144300
K13448	Glyma.04G144800
K01530	Glyma.04G144900
K10401	Glyma.04G145200
K13179	Glyma.04G145400
K03136	Glyma.04G146000
K14515	Glyma.04G147000
K00510	Glyma.04G147700
K00771	Glyma.04G148100
K09518	Glyma.04G148200
K00894	Glyma.04G148300
K11251	Glyma.04G149200
K15397	Glyma.04G149300
K13111	Glyma.04G149500
K11434	Glyma.04G149600
K06130	Glyma.04G149900
K14494	Glyma.04G150500
K11593	Glyma.04G150900
K12193	Glyma.04G151500
K10781	Glyma.04G151600
K16282	Glyma.04G153400
K10999	Glyma.04G153700
K02520	Glyma.04G154000
K03260	Glyma.04G154100
K09285	Glyma.04G154900
K11498	Glyma.04G155500
K16297	Glyma.04G155900
K05290	Glyma.04G156000
K07297	Glyma.04G156100
K03255	Glyma.04G156200
K10712	Glyma.04G156900
K01689	Glyma.04G157000
K05391	Glyma.04G157200
K01213	Glyma.04G157500
K01213	Glyma.04G157600
K01213	Glyma.04G157700
K04773	Glyma.04G158100
K11274	Glyma.04G158400
K13648	Glyma.04G159200
K09264	Glyma.04G159300
K13379	Glyma.04G159700
K02910	Glyma.04G161200
K02865	Glyma.04G161300
K07195	Glyma.04G162400
K01079	Glyma.04G162700
K02136	Glyma.04G162800
K15177	Glyma.04G163400
K18211	Glyma.04G164400
K07964	Glyma.04G164500
K03263	Glyma.04G165500
K01530	Glyma.04G166100
K12127	Glyma.04G166300
K13681	Glyma.04G166600
K09579	Glyma.04G166700
K07748	Glyma.04G166800
K09422	Glyma.04G166900
K08910	Glyma.04G167900
K09422	Glyma.04G170100
K11290	Glyma.04G170400
K17279	Glyma.04G171200
K10436	Glyma.04G171300
K02997	Glyma.04G171400
K17428	Glyma.04G171700
K01785	Glyma.04G172800
K10573	Glyma.04G173300
K01728	Glyma.04G173900
K15040	Glyma.04G174300
K09510	Glyma.04G175100
K13412	Glyma.04G175300
K09422	Glyma.04G176700
K01934	Glyma.04G177000
K06947	Glyma.04G177200
K18875	Glyma.04G177700
K14492	Glyma.04G177900
K00966	Glyma.04G178400
K03946	Glyma.04G179100
K09377	Glyma.04G179800
K14611	Glyma.04G180000
K04392	Glyma.04G180200
K16055	Glyma.04G180900
K05391	Glyma.04G181000
K10881	Glyma.04G181200
K16284	Glyma.04G182100
K04728	Glyma.04G182900
K15283	Glyma.04G184300
K06195	Glyma.04G184400
K00766	Glyma.04G184900
K04354	Glyma.04G185200
K13525	Glyma.04G186000
K11550	Glyma.04G186200
K16903	Glyma.04G186700
K06067	Glyma.04G187000
K06067	Glyma.04G187100
K09422	Glyma.04G187300
K02900	Glyma.04G187500
K00558	Glyma.04G187600
K02358	Glyma.04G188700
K08867	Glyma.04G188800
K15322	Glyma.04G189200
K08287	Glyma.04G189600
K16280	Glyma.04G189900
K11294	Glyma.04G190100
K00573	Glyma.04G190200
K16292	Glyma.04G190700
K07304	Glyma.04G190800
K01728	Glyma.04G191100
K04681	Glyma.04G192200
K06901	Glyma.04G192500
K02495	Glyma.04G192800
K07739	Glyma.04G192900
K11137	Glyma.04G193000
K00134	Glyma.04G193400
K00134	Glyma.04G193500
K15901	Glyma.04G194000
K01267	Glyma.04G194100
K08246	Glyma.04G194500
K02737	Glyma.04G194700
K13448	Glyma.04G194800
K03232	Glyma.04G195100
K11650	Glyma.04G195200
K01114	Glyma.04G196700
K10781	Glyma.04G197400
K10781	Glyma.04G197500
K17279	Glyma.04G197600
K17046	Glyma.04G197900
K15400	Glyma.04G198000
K14488	Glyma.04G198100
K15382	Glyma.04G198400
K15382	Glyma.04G198500
K17780	Glyma.04G198900
K04649	Glyma.04G199200
K08819	Glyma.04G199300
K16297	Glyma.04G200200
K14165	Glyma.04G200300
K03696	Glyma.04G200400
K14563	Glyma.04G200700
K12489	Glyma.04G200800
K01191	Glyma.04G200900
K11511	Glyma.04G201000
K14684	Glyma.04G202800
K08054	Glyma.04G202900
K15979	Glyma.04G203000
K13447	Glyma.04G203200
K03696	Glyma.04G203300
K03046	Glyma.04G204000
K17553	Glyma.04G204100
K17362	Glyma.04G204200
K17362	Glyma.04G204300
K13412	Glyma.04G204400
K14488	Glyma.04G204700
K14950	Glyma.04G204800
K09422	Glyma.04G205100
K14498	Glyma.04G205400
K01772	Glyma.04G205600
K00889	Glyma.04G206100
K03596	Glyma.04G206300
K13173	Glyma.04G206600
K14488	Glyma.04G206800
K02208	Glyma.04G207900
K13993	Glyma.04G208000
K11097	Glyma.04G208600
K05546	Glyma.04G209000
K11414	Glyma.04G210000
K12195	Glyma.04G210200
K02327	Glyma.04G210700
K16280	Glyma.04G211000
K00166	Glyma.04G212100
K07910	Glyma.04G212400
K15356	Glyma.04G212800
K11000	Glyma.04G213100
K00888	Glyma.04G213400
K11816	Glyma.04G213600
K18857	Glyma.04G213900
K02879	Glyma.04G214500
K09131	Glyma.04G215300
K08269	Glyma.04G215500
K19040	Glyma.04G215600
K02701	Glyma.04G215800
K10355	Glyma.04G215900
K01956	Glyma.04G216000
K10807	Glyma.04G217300
K03035	Glyma.04G217500
K08819	Glyma.04G218000
K15285	Glyma.04G218200
K13415	Glyma.04G218300
K14801	Glyma.04G218800
K00891	Glyma.04G219200
K00891	Glyma.04G219300
K00705	Glyma.04G219500
K12169	Glyma.04G220000
K00430	Glyma.04G220600
K14638	Glyma.04G220700
K06901	Glyma.04G220800
K15285	Glyma.04G221100
K15285	Glyma.04G221200
K04564	Glyma.04G221300
K02976	Glyma.04G221400
K03549	Glyma.04G221600
K12585	Glyma.04G221900
K19040	Glyma.04G222300
K15437	Glyma.04G222900
K14492	Glyma.04G223000
K03145	Glyma.04G223500
K02866	Glyma.04G224000
K02940	Glyma.04G226500
K14664	Glyma.04G226600
K02940	Glyma.04G226900
K00430	Glyma.04G227200
K03626	Glyma.04G227300
K03626	Glyma.04G227400
K05279	Glyma.04G227700
K13066	Glyma.04G227700
K11805	Glyma.04G228000
K12130	Glyma.04G228300
K02942	Glyma.04G229000
K12890	Glyma.04G229300
K13993	Glyma.04G229800
K14488	Glyma.04G231100
K05275	Glyma.04G231451
K02927	Glyma.04G231500
K01057	Glyma.04G231600
K08900	Glyma.04G232200
K07575	Glyma.04G232900
K14293	Glyma.04G233700
K13162	Glyma.04G234100
K00703	Glyma.04G235200
K03544	Glyma.04G235600
K04506	Glyma.04G235700
K06268	Glyma.04G235900
K01278	Glyma.04G236000
K12827	Glyma.04G236800
K00264	Glyma.04G236900
K00938	Glyma.04G237000
K00565	Glyma.04G237200
K00797	Glyma.04G237300
K05391	Glyma.04G237400
K01087	Glyma.04G237900
K14948	Glyma.04G238000
K15382	Glyma.04G238100
K03093	Glyma.04G238200
K15119	Glyma.04G238600
K06689	Glyma.04G238800
K12479	Glyma.04G240400
K16297	Glyma.04G240600
K18857	Glyma.04G240800
K15172	Glyma.04G240900
K15382	Glyma.04G241400
K03671	Glyma.04G242000
K09422	Glyma.04G242200
K11816	Glyma.04G242500
K03875	Glyma.04G242700
K00166	Glyma.04G243000
K11649	Glyma.04G243100
K05282	Glyma.04G244200
K10523	Glyma.04G244900
K13448	Glyma.04G245000
K12447	Glyma.04G245100
K11423	Glyma.04G245400
K09264	Glyma.04G245500
K00858	Glyma.04G245800
K05933	Glyma.04G245900
K06627	Glyma.04G246600
K10755	Glyma.04G246800
K11877	Glyma.04G247000
K11649	Glyma.04G247200
K10295	Glyma.04G247500
K14664	Glyma.04G247600
K01698	Glyma.04G247700
K14492	Glyma.04G247800
K09580	Glyma.04G247900
K00434	Glyma.04G248300
K00128	Glyma.04G248500
K09519	Glyma.04G248600
K10756	Glyma.04G248900
K19045	Glyma.04G249100
K02735	Glyma.04G249300
K13600	Glyma.04G249400
K03542	Glyma.04G249700
K03143	Glyma.04G250400
K11982	Glyma.04G251600
K13946	Glyma.04G252300
K12162	Glyma.04G252400
K11426	Glyma.04G252800
K01942	Glyma.04G252900
K00889	Glyma.04G253100
K02952	Glyma.04G253300
K13414	Glyma.04G253500
K01922	Glyma.04G254600
K14431	Glyma.04G254800
K08734	Glyma.04G254900
K15707	Glyma.04G255000
K05236	Glyma.04G255100
K12837	Glyma.04G255700
K18801	Glyma.04G255800
K03354	Glyma.04G255900
K00297	Glyma.04G256100
K14638	Glyma.04G256300
K17784	Glyma.04G256400
K07735	Glyma.04G256600
K14328	Glyma.04G257000
K18162	Glyma.04G257200
K16732	Glyma.05G000050
K18643	Glyma.05G000600
K00873	Glyma.05G000700
K10355	Glyma.05G000900
K00604	Glyma.05G001000
K02890	Glyma.05G001100
K03262	Glyma.05G001200
K03327	Glyma.05G001700
K13648	Glyma.05G001800
K01265	Glyma.05G001900
K03177	Glyma.05G002300
K16190	Glyma.05G002500
K14314	Glyma.05G003500
K05289	Glyma.05G003600
K06617	Glyma.05G003900
K13192	Glyma.05G004100
K11790	Glyma.05G004600
K06947	Glyma.05G004700
K00962	Glyma.05G005200
K00031	Glyma.05G005300
K09422	Glyma.05G005400
K12823	Glyma.05G005500
K07977	Glyma.05G006000
K07937	Glyma.05G006000
K09422	Glyma.05G006100
K08835	Glyma.05G006700
K01530	Glyma.05G006800
K01673	Glyma.05G007100
K00278	Glyma.05G007600
K00326	Glyma.05G008100
K15133	Glyma.05G009700
K15639	Glyma.05G010200
K07936	Glyma.05G010300
K13137	Glyma.05G010900
K15397	Glyma.05G011100
K11593	Glyma.05G011300
K03453	Glyma.05G011700
K11584	Glyma.05G012200
K10781	Glyma.05G012300
K09533	Glyma.05G012400
K15429	Glyma.05G012700
K03128	Glyma.05G013400
K03136	Glyma.05G013500
K15227	Glyma.05G014000
K03111	Glyma.05G014200
K03768	Glyma.05G014300
K13179	Glyma.05G014800
K10401	Glyma.05G014900
K13123	Glyma.05G015200
K01530	Glyma.05G015400
K13448	Glyma.05G015500
K01890	Glyma.05G016400
K11129	Glyma.05G016600
K11129	Glyma.05G016800
K08856	Glyma.05G016900
K13051	Glyma.05G018300
K13648	Glyma.05G018500
K09264	Glyma.05G018800
K02518	Glyma.05G019600
K01126	Glyma.05G020500
K07466	Glyma.05G020600
K04505	Glyma.05G020800
K12741	Glyma.05G020900
K09506	Glyma.05G021300
K11407	Glyma.05G021400
K05280	Glyma.05G021800
K05280	Glyma.05G021900
K05280	Glyma.05G022100
K03695	Glyma.05G022200
K00901	Glyma.05G022500
K00012	Glyma.05G022600
K02694	Glyma.05G022900
K14798	Glyma.05G023000
K18211	Glyma.05G023100
K07964	Glyma.05G023200
K16904	Glyma.05G023900
K03263	Glyma.05G024200
K08238	Glyma.05G024800
K12127	Glyma.05G025000
K01783	Glyma.05G025300
K13681	Glyma.05G025400
K10960	Glyma.05G026200
K00026	Glyma.05G026300
K09422	Glyma.05G027000
K11290	Glyma.05G027300
K17279	Glyma.05G027700
K14863	Glyma.05G027800
K02997	Glyma.05G028000
K04733	Glyma.05G028300
K10573	Glyma.05G028800
K00294	Glyma.05G029100
K00294	Glyma.05G029200
K17602	Glyma.05G029400
K15040	Glyma.05G029700
K14638	Glyma.05G029900
K14638	Glyma.05G030300
K14638	Glyma.05G030400
K14638	Glyma.05G030500
K14638	Glyma.05G030600
K01535	Glyma.05G030700
K13412	Glyma.05G030800
K08900	Glyma.05G031400
K07565	Glyma.05G031500
K15436	Glyma.05G031900
K04688	Glyma.05G032000
K14492	Glyma.05G033000
K09391	Glyma.05G033400
K00130	Glyma.05G033500
K03501	Glyma.05G033800
K09377	Glyma.05G034700
K04392	Glyma.05G035200
K10576	Glyma.05G035700
K11699	Glyma.05G035900
K16055	Glyma.05G036100
K00797	Glyma.05G036300
K15382	Glyma.05G036500
K16284	Glyma.05G037000
K13343	Glyma.05G037400
K00099	Glyma.05G037500
K09680	Glyma.05G037900
K09422	Glyma.05G038500
K06195	Glyma.05G038600
K14559	Glyma.05G038800
K11550	Glyma.05G040000
K06617	Glyma.05G040300
K16903	Glyma.05G040400
K06067	Glyma.05G040600
K09422	Glyma.05G040700
K02900	Glyma.05G040900
K12823	Glyma.05G041000
K17987	Glyma.05G041600
K02358	Glyma.05G041900
K01517	Glyma.05G042300
K03517	Glyma.05G042400
K08287	Glyma.05G042700
K11294	Glyma.05G043200
K00573	Glyma.05G043300
K15360	Glyma.05G043400
K17890	Glyma.05G043700
K01728	Glyma.05G044000
K03037	Glyma.05G044500
K03037	Glyma.05G044900
K08869	Glyma.05G045000
K00940	Glyma.05G045200
K01638	Glyma.05G045900
K08818	Glyma.05G046000
K00939	Glyma.05G046100
K00939	Glyma.05G046300
K14564	Glyma.05G046400
K14829	Glyma.05G046600
K01940	Glyma.05G046700
K01940	Glyma.05G046900
K13448	Glyma.05G047100
K11650	Glyma.05G047600
K07195	Glyma.05G047800
K02113	Glyma.05G048000
K12164	Glyma.05G048200
K01493	Glyma.05G048400
K18801	Glyma.05G048600
K10755	Glyma.05G048900
K05293	Glyma.05G049100
K13519	Glyma.05G049500
K03327	Glyma.05G049700
K00108	Glyma.05G050100
K12451	Glyma.05G050500
K03364	Glyma.05G051100
K09560	Glyma.05G051600
K09422	Glyma.05G051700
K08679	Glyma.05G052100
K02953	Glyma.05G052300
K02953	Glyma.05G052400
K02953	Glyma.05G052600
K15033	Glyma.05G052900
K15292	Glyma.05G053100
K14423	Glyma.05G053300
K01358	Glyma.05G053600
K03327	Glyma.05G054000
K18447	Glyma.05G054800
K18447	Glyma.05G054900
K04569	Glyma.05G055000
K02355	Glyma.05G055500
K09553	Glyma.05G055600
K01369	Glyma.05G055700
K14488	Glyma.05G055800
K01193	Glyma.05G056300
K00616	Glyma.05G056400
K00759	Glyma.05G056500
K00016	Glyma.05G058100
K08341	Glyma.05G058300
K11438	Glyma.05G059000
K12863	Glyma.05G059200
K13337	Glyma.05G059400
K01893	Glyma.05G059500
K02983	Glyma.05G059600
K01433	Glyma.05G060500
K02877	Glyma.05G061400
K10624	Glyma.05G061500
K09422	Glyma.05G061900
K00232	Glyma.05G062200
K09338	Glyma.05G062700
K09286	Glyma.05G063500
K09286	Glyma.05G063600
K05609	Glyma.05G063800
K05607	Glyma.05G063900
K08235	Glyma.05G064250
K07874	Glyma.05G064300
K13783	Glyma.05G064500
K01358	Glyma.05G065900
K00261	Glyma.05G066200
K14977	Glyma.05G066500
K14498	Glyma.05G066700
K06268	Glyma.05G066800
K03115	Glyma.05G067100
K03115	Glyma.05G067300
K02921	Glyma.05G067400
K08494	Glyma.05G067700
K01177	Glyma.05G068000
K19042	Glyma.05G068400
K01338	Glyma.05G068600
K07893	Glyma.05G068900
K00948	Glyma.05G070500
K14638	Glyma.05G070600
K14500	Glyma.05G070700
K03124	Glyma.05G072000
K17604	Glyma.05G072100
K09422	Glyma.05G072600
K07748	Glyma.05G072700
K07748	Glyma.05G072800
K07748	Glyma.05G073000
K00134	Glyma.05G073100
K11584	Glyma.05G073300
K17435	Glyma.05G073700
K00413	Glyma.05G074400
K02705	Glyma.05G074900
K01183	Glyma.05G075000
K12177	Glyma.05G075400
K15032	Glyma.05G075600
K05016	Glyma.05G077100
K11650	Glyma.05G077800
K00387	Glyma.05G078300
K02727	Glyma.05G079000
K12176	Glyma.05G079400
K12591	Glyma.05G079600
K02183	Glyma.05G079700
K14432	Glyma.05G079800
K03103	Glyma.05G080100
K15634	Glyma.05G080400
K15634	Glyma.05G080500
K05864	Glyma.05G080800
K02897	Glyma.05G081300
K04125	Glyma.05G081600
K14498	Glyma.05G081900
K15397	Glyma.05G083000
K03139	Glyma.05G083300
K09539	Glyma.05G083800
K10395	Glyma.05G085400
K07432	Glyma.05G086900
K14797	Glyma.05G087100
K09549	Glyma.05G087300
K14961	Glyma.05G087400
K15559	Glyma.05G087600
K05278	Glyma.05G088100
K03231	Glyma.05G089000
K10756	Glyma.05G089100
K13863	Glyma.05G089200
K12591	Glyma.05G089300
K00549	Glyma.05G090100
K10577	Glyma.05G091100
K09284	Glyma.05G091200
K13525	Glyma.05G091650
K02954	Glyma.05G091932
K00412	Glyma.05G092000
K00763	Glyma.05G094000
K02992	Glyma.05G094500
K05573	Glyma.05G094500
K05542	Glyma.05G096300
K10268	Glyma.05G097100
K14505	Glyma.05G097300
K09422	Glyma.05G098200
K11339	Glyma.05G099000
K02976	Glyma.05G099500
K14066	Glyma.05G100400
K04508	Glyma.05G100500
K14487	Glyma.05G101300
K16904	Glyma.05G101400
K12347	Glyma.05G101700
K17424	Glyma.05G102000
K07300	Glyma.05G102600
K00430	Glyma.05G103600
K03097	Glyma.05G104200
K00472	Glyma.05G104400
K03097	Glyma.05G104600
K01537	Glyma.05G105200
K00860	Glyma.05G105300
K07955	Glyma.05G105800
K09422	Glyma.05G106000
K03937	Glyma.05G106100
K18810	Glyma.05G106800
K09285	Glyma.05G108600
K01762	Glyma.05G108900
K09422	Glyma.05G109200
K08235	Glyma.05G109600
K13947	Glyma.05G109800
K02266	Glyma.05G110100
K07374	Glyma.05G110200
K00844	Glyma.05G110500
K11826	Glyma.05G111900
K02639	Glyma.05G112100
K01728	Glyma.05G114000
K18156	Glyma.05G114300
K03231	Glyma.05G114900
K07877	Glyma.05G115000
K14785	Glyma.05G115100
K16280	Glyma.05G115700
K17506	Glyma.05G116800
K12891	Glyma.05G117600
K02911	Glyma.05G118100
K07053	Glyma.05G118600
K13416	Glyma.05G119500
K13416	Glyma.05G119600
K02929	Glyma.05G120700
K15430	Glyma.05G121000
K12885	Glyma.05G121100
K15382	Glyma.05G122200
K14769	Glyma.05G122300
K13414	Glyma.05G123200
K02206	Glyma.05G123500
K16219	Glyma.05G124100
K03505	Glyma.05G124300
K04506	Glyma.05G124500
K10885	Glyma.05G125700
K07375	Glyma.05G126100
K03434	Glyma.05G126500
K03031	Glyma.05G127300
K06875	Glyma.05G127400
K12624	Glyma.05G127900
K08912	Glyma.05G128000
K13420	Glyma.05G128200
K09458	Glyma.05G129600
K02541	Glyma.05G129700
K03015	Glyma.05G130300
K04125	Glyma.05G130600
K07767	Glyma.05G130700
K13506	Glyma.05G131100
K10752	Glyma.05G131200
K00609	Glyma.05G131400
K03549	Glyma.05G131800
K03798	Glyma.05G132000
K00972	Glyma.05G132100
K15422	Glyma.05G132200
K02917	Glyma.05G132500
K03671	Glyma.05G132600
K02901	Glyma.05G132800
K17686	Glyma.05G132900
K10592	Glyma.05G133100
K06970	Glyma.05G133200
K17807	Glyma.05G134300
K05539	Glyma.05G135100
K02151	Glyma.05G135300
K11664	Glyma.05G136000
K01580	Glyma.05G136100
K14638	Glyma.05G136200
K14638	Glyma.05G136300
K14638	Glyma.05G136400
K14713	Glyma.05G137400
K13448	Glyma.05G138000
K08235	Glyma.05G138700
K08360	Glyma.05G138800
K10581	Glyma.05G140200
K14494	Glyma.05G140400
K10609	Glyma.05G140800
K09840	Glyma.05G140900
K00162	Glyma.05G141000
K11517	Glyma.05G141400
K00819	Glyma.05G141900
K08150	Glyma.05G142400
K08150	Glyma.05G142500
K03676	Glyma.05G142700
K02923	Glyma.05G143700
K14491	Glyma.05G144500
K03108	Glyma.05G144700
K09775	Glyma.05G145600
K08818	Glyma.05G145800
K01427	Glyma.05G146000
K12818	Glyma.05G146100
K01228	Glyma.05G146400
K01228	Glyma.05G146500
K12946	Glyma.05G146700
K02880	Glyma.05G146800
K00588	Glyma.05G147000
K14848	Glyma.05G147800
K14489	Glyma.05G148100
K02685	Glyma.05G148900
K15015	Glyma.05G149000
K12462	Glyma.05G149100
K12626	Glyma.05G149300
K01426	Glyma.05G149500
K10400	Glyma.05G149700
K09571	Glyma.05G149900
K02965	Glyma.05G150000
K08235	Glyma.05G150400
K12524	Glyma.05G151100
K01897	Glyma.05G151200
K17285	Glyma.05G151300
K13110	Glyma.05G151500
K12873	Glyma.05G151700
K09419	Glyma.05G151800
K01251	Glyma.05G152000
K00600	Glyma.05G152100
K08679	Glyma.05G152300
K00660	Glyma.05G153200
K05755	Glyma.05G153800
K12160	Glyma.05G154000
K11594	Glyma.05G155100
K04382	Glyma.05G155300
K03241	Glyma.05G155700
K02912	Glyma.05G156100
K01056	Glyma.05G156800
K04371	Glyma.05G157200
K07374	Glyma.05G157300
K09286	Glyma.05G157400
K15104	Glyma.05G157800
K06630	Glyma.05G158100
K14502	Glyma.05G159400
K00799	Glyma.05G161300
K00799	Glyma.05G161400
K00799	Glyma.05G161500
K00799	Glyma.05G161600
K10949	Glyma.05G161700
K09419	Glyma.05G162300
K09874	Glyma.05G162500
K09874	Glyma.05G162600
K14638	Glyma.05G163000
K09264	Glyma.05G163200
K16055	Glyma.05G163600
K10746	Glyma.05G163700
K14416	Glyma.05G163800
K08235	Glyma.05G163900
K09493	Glyma.05G165500
K12486	Glyma.05G165900
K08064	Glyma.05G166100
K09338	Glyma.05G166400
K17800	Glyma.05G167300
K01653	Glyma.05G167700
K17255	Glyma.05G167800
K17618	Glyma.05G168000
K16075	Glyma.05G168200
K01115	Glyma.05G168300
K02639	Glyma.05G168400
K17087	Glyma.05G168500
K11718	Glyma.05G168600
K11548	Glyma.05G169000
K00889	Glyma.05G169400
K14294	Glyma.05G170200
K12448	Glyma.05G170300
K07437	Glyma.05G170400
K13111	Glyma.05G170500
K07052	Glyma.05G172100
K18584	Glyma.05G172200
K02723	Glyma.05G172300
K18584	Glyma.05G172600
K16280	Glyma.05G173500
K02942	Glyma.05G174300
K00737	Glyma.05G175000
K14652	Glyma.05G175500
K09338	Glyma.05G175600
K14498	Glyma.05G176100
K07904	Glyma.05G176300
K14396	Glyma.05G176400
K03686	Glyma.05G177100
K02904	Glyma.05G178000
K11842	Glyma.05G178100
K07893	Glyma.05G178300
K02892	Glyma.05G178600
K17095	Glyma.05G178700
K07152	Glyma.05G179500
K01087	Glyma.05G179800
K09286	Glyma.05G179900
K00232	Glyma.05G180100
K14514	Glyma.05G180300
K01834	Glyma.05G180500
K01858	Glyma.05G180600
K15849	Glyma.05G181000
K08237	Glyma.05G181100
K17785	Glyma.05G181700
K09140	Glyma.05G181800
K15559	Glyma.05G181900
K16282	Glyma.05G182000
K14431	Glyma.05G182500
K00827	Glyma.05G182600
K00891	Glyma.05G183700
K09716	Glyma.05G183800
K02934	Glyma.05G184000
K02934	Glyma.05G184100
K07933	Glyma.05G184400
K07897	Glyma.05G184600
K13628	Glyma.05G184700
K14521	Glyma.05G185000
K15111	Glyma.05G185200
K19026	Glyma.05G185300
K15285	Glyma.05G185700
K11088	Glyma.05G185800
K08819	Glyma.05G186100
K10882	Glyma.05G186200
K11851	Glyma.05G186500
K03035	Glyma.05G186600
K10807	Glyma.05G186900
K13091	Glyma.05G187000
K10999	Glyma.05G187300
K13124	Glyma.05G187400
K00083	Glyma.05G187700
K01956	Glyma.05G188500
K11253	Glyma.05G188600
K11253	Glyma.05G188700
K10355	Glyma.05G188800
K19040	Glyma.05G188900
K08331	Glyma.05G189000
K03012	Glyma.05G189100
K09903	Glyma.05G189900
K10751	Glyma.05G190800
K00888	Glyma.05G191200
K11000	Glyma.05G191600
K07910	Glyma.05G191800
K01933	Glyma.05G192900
K08065	Glyma.05G193300
K16280	Glyma.05G193500
K03495	Glyma.05G193600
K02208	Glyma.05G195300
K17872	Glyma.05G195400
K00901	Glyma.05G196100
K14488	Glyma.05G196300
K03320	Glyma.05G196500
K00889	Glyma.05G197200
K01772	Glyma.05G197600
K14498	Glyma.05G197700
K13412	Glyma.05G198300
K13447	Glyma.05G198700
K15979	Glyma.05G199100
K08054	Glyma.05G199200
K14684	Glyma.05G199400
K00079	Glyma.05G199500
K00616	Glyma.05G199800
K03428	Glyma.05G200500
K03107	Glyma.05G200600
K12489	Glyma.05G200700
K03696	Glyma.05G201100
K14165	Glyma.05G201200
K15102	Glyma.05G201400
K08819	Glyma.05G202000
K16675	Glyma.05G202500
K15382	Glyma.05G202600
K15382	Glyma.05G202700
K15400	Glyma.05G203000
K17046	Glyma.05G203100
K17262	Glyma.05G203800
K10684	Glyma.05G204000
K01784	Glyma.05G204700
K03137	Glyma.05G205200
K09377	Glyma.05G205800
K11883	Glyma.05G206400
K05765	Glyma.05G206500
K12235	Glyma.05G206600
K00799	Glyma.05G206900
K00799	Glyma.05G207000
K00432	Glyma.05G207100
K14500	Glyma.05G207400
K07375	Glyma.05G207500
K01919	Glyma.05G207600
K10406	Glyma.05G208100
K01951	Glyma.05G208400
K09872	Glyma.05G208700
K19329	Glyma.05G208800
K15398	Glyma.05G208900
K09872	Glyma.05G208941
K19329	Glyma.05G208961
K15398	Glyma.05G208981
K01256	Glyma.05G209200
K10576	Glyma.05G209400
K10843	Glyma.05G209700
K16281	Glyma.05G210000
K13127	Glyma.05G210600
K18635	Glyma.05G210800
K04371	Glyma.05G211000
K02947	Glyma.05G211100
K09422	Glyma.05G211200
K01762	Glyma.05G211700
K11135	Glyma.05G211800
K06269	Glyma.05G212100
K13447	Glyma.05G212500
K07052	Glyma.05G213000
K03549	Glyma.05G213100
K13412	Glyma.05G213200
K02150	Glyma.05G213800
K00033	Glyma.05G214000
K02150	Glyma.05G214100
K02150	Glyma.05G214200
K16240	Glyma.05G214900
K09273	Glyma.05G215500
K07020	Glyma.05G216200
K01897	Glyma.05G216600
K00940	Glyma.05G216700
K01784	Glyma.05G217100
K06268	Glyma.05G217700
K17479	Glyma.05G218400
K09458	Glyma.05G218600
K19039	Glyma.05G218700
K02990	Glyma.05G218800
K01177	Glyma.05G219200
K14293	Glyma.05G219300
K09490	Glyma.05G219400
K01950	Glyma.05G219500
K09490	Glyma.05G219600
K01194	Glyma.05G219800
K01961	Glyma.05G221100
K17771	Glyma.05G221400
K09013	Glyma.05G221600
